MET2013,city_total,city_coef,shifter,shifter_normalized
"Akron, OH",0.0440328830879324,,,
"Albany, OR",2.7484525072507537e-17,0.00041916544214289,15250961806219.33,1.0
"Albany-Schenectady-Troy, NY",-3.3263322651855276e-16,0.002662406423106432,-8004030297790.876,0.2754374448632351
"Albuquerque, NM",6.982261990806649e-16,0.0017702250772339652,2535317465263.795,0.027635684724822886
"Allentown-Bethlehem-Easton, PA-NJ",-5.613998849129942e-16,0.002156047473716333,-3840484352878.835,0.06341288807648064
"Amarillo, TX",5.854691731421724e-18,0.0009159461167059562,156446514816508.1,105.22945438497084
"Anchorage, AK",-2.0491421059976034e-17,0.001137642987066992,-55518013306019.23,13.251754035131835
"Ann Arbor, MI",-6.833726293176134e-16,0.0009398648492773557,-1375332884221.4011,0.008132445982758899
"Anniston-Oxford-Jacksonville, AL",-2.152683413469969e-16,0.00031517795886187584,-1464116631780.2017,0.00921630590387258
"Asheville, NC",-1.7780915628762273e-17,0.001648900374419479,-92734278079146.3,36.973122007234515
"Atlanta-Sandy Springs-Roswell, GA",-9.037909309839165e-16,0.01538878772848163,-17026933111320.945,1.2464601343918142
"Atlantic City-Hammonton, NJ",-3.002155815612362e-16,0.0009379364211713608,-3124209663914.6167,0.04196486940959548
"Augusta-Richmond County, GA-SC",3.9118014383277e-16,0.0012484964498959785,3191615089823.4556,0.043795203890743324
"Austin-Round Rock, TX",-5.048045315092509e-16,0.006207297783504613,-12296438316324.545,0.650076106960086
"Bakersfield, CA",6.938893903907228e-17,0.0033050781873952143,47631196458187.016,9.754129443711124
"Baltimore-Columbia-Towson, MD",-4.692427002517263e-16,0.006990370430015655,-14897131966604.18,0.9541372759804703
"Bangor, ME",4.0023323197302396e-16,0.0004437435292713346,1108712355253.007,0.005284979506385855
"Barnstable Town, MA",-1.8431436932253575e-16,0.0007984307533186556,-4331896402073.0483,0.08067921368101043
"Baton Rouge, LA",1.8691645453650096e-16,0.001931520223106831,10333601864514.525,0.45910178673477336
"Beaumont-Port Arthur, TX",-5.685556192513985e-16,0.0011572977563262116,-2035504913046.139,0.0178135239913237
"Beckley, WV",-2.2892928872031426e-16,0.000287614205932277,-1256345169025.7896,0.006786150411720688
"Bellingham, WA",-1.6642503347652493e-16,0.0008111836265354245,-4874168324261.422,0.10214252254204526
"Birmingham-Hoover, AL",-2.0860049798621105e-16,0.0028726094787588394,-13770865872758.967,0.815319875945615
"Bismarck, ND",-2.2144829373016428e-16,0.0004706216130741921,-2125198641844.794,0.01941800428030643
"Blacksburg-Christiansburg-Radford, VA",-1.947227101783966e-16,0.0008226542629707649,-4224747397040.049,0.07673739059209268
"Bloomington, IL",-2.507759624958972e-16,0.0006557116264067586,-2614730773558.436,0.029394054130771893
"Bloomington, IN",-2.582027473774229e-16,0.00043849816103434,-1698270701951.0283,0.012399933834832474
"Boise City, ID",4.948298715223842e-16,0.002443325031628196,4937707224729.801,0.1048229080387912
"Boston-Cambridge-Newton, MA-NH",1.3183898417423734e-16,0.013428645866683603,101856411825324.84,44.60487009213759
"Bremerton-Silverdale, WA",3.9584221317445767e-16,0.0008433322898807522,2130475886130.6042,0.01951456069634333
"Bridgeport-Stamford-Norwalk, CT",-3.365363543395006e-16,0.0029010335009830145,-8620267806361.355,0.3194824819589721
"Brownsville-Harlingen, TX",-6.526897078362737e-17,0.0012917850784763636,-19791718223330.805,1.6841180539409206
"Buffalo-Cheektowaga-Niagara Falls, NY",8.604228440844963e-16,0.003404593850325093,3956884540818.573,0.06731506805069197
"Burlington, NC",-9.8879238130678e-17,0.000636175080533652,-6433859044230.177,0.1779707444176822
"California-Lexington Park, MD",2.862293735361732e-17,0.0003174225834842736,11089797652935.793,0.5287529179453032
"Canton-Massillon, OH",1.9353008778866254e-16,0.0012197740629503262,6302761895516.401,0.1707919254270493
"Cape Coral-Fort Myers, FL",-5.206338832275392e-16,0.0023628851135563487,-4538477401640.16,0.08855761009552905
