MET2013,occ2_cleric,occ2_constr,occ2_exec,occ2_farmer,occ2_finsales,occ2_mechanic,occ2_mgmtrel,occ2_mining,occ2_operator,occ2_otheragr,occ2_product,occ2_prof,occ2_retsales,occ2_tech,occ2_transp,occ3_beauty,occ3_clean,occ3_food,occ3_janitor,occ3_others,occ3_protect,occ3_recreation,occ3_shealth,city_total
"Akron, OH",0.0022252830663734,0.0017538420646655373,0.0016371410732658681,0.002421790728949691,0.0004707604982952657,0.0022669267704598524,0.0017695285558967638,0.0024912961668318223,0.00276528275223744,0.0012378106598687083,0.0028006280101336824,0.0016139922011541392,0.0019550015244895556,0.001949479909016331,0.0020417938295724776,0.001624119290271869,0.0014778020901307996,0.002273388855957186,0.0023007477984799914,0.0018590436344734203,0.0016659354672368745,0.0017180749431202,0.0017132131970515208,0.0440328830879324
"Albany, OR",-8.592837729498999e-05,0.00019780109966714726,-0.0003681604700475217,0.001344606862290901,-0.0005965210862603244,0.00011866553265096273,-0.0006111576908869264,0.0006526843087911322,0.00028264489872064985,0.0006817245632450183,7.22477010454926e-05,-0.0005042665641656508,-0.00038193929821193434,-0.0001524645224289588,0.00031045506391318785,-0.00043226560749552094,-0.00021897847045769048,-0.00018019306833120375,0.0002887704306683013,-5.793881904646943e-05,-7.144774448151543e-05,-0.00048231430455498986,0.00019397556267093078,2.7484525072507537e-17
"Albany-Schenectady-Troy, NY",0.0004366982799792682,-0.00039375280092139456,1.5525080590436408e-05,-0.00033461832623044084,-0.0005065439545380661,-0.00028271253553797905,8.788253511083158e-05,-0.0015905566721724097,-0.0007844168077597918,-0.0010138337997956234,-0.00024664755746364904,0.0004306221826562073,0.0007651726257405238,-6.04203753811006e-05,0.0001229522897919456,0.00025784493620153743,-0.0005457967737528321,-0.0002878587365453453,0.0006185333296312595,0.001108744034401489,0.0004975091829827428,0.0016751152928553685,3.0558570156689197e-05,-3.3263322651855276e-16
"Albuquerque, NM",0.00044024745292393485,0.00041262661869787215,-0.00010100484686569695,-6.452772800174167e-06,-0.0001760632654232994,-4.833937279931258e-05,-0.0008562534680422015,1.134788164895695e-05,-0.0003874688406170254,-0.00025857310840385686,-0.00023416711328458264,0.00026272164196377385,-0.0002861059006494097,0.0007802473279617662,-0.00014395280010838724,-0.0002825407415973961,-7.948713402886574e-05,0.00010976832637462101,-4.1458731027377814e-07,-6.786783912244741e-06,0.0003058225849820093,2.3880134303495837e-07,0.0005445900999474557,6.982261990806649e-16
"Allentown-Bethlehem-Easton, PA-NJ",0.00023585412508096704,0.00013405663003200445,-0.00039771847361946486,0.00017174062315965797,-0.001555663746938567,0.0007498929603592195,-0.0005951913438451695,0.001399833505038789,0.0008465346058291066,-0.00023363354144402462,0.0004246553109939497,-0.00026063632862379383,-0.0001753614575228774,0.0005317946448917983,0.0007240793125471447,-0.00032727575149136406,-0.0007847133101226333,-0.0005008514714497467,0.0004101689790417585,-0.0005200829685969126,-0.0006072869193305584,3.352788851536696e-05,0.0002962767274947882,-5.613998849129942e-16
"Amarillo, TX",-7.91508205323562e-05,0.00019438150106028114,-0.00046573385622608783,0.001599847244317435,-0.0007908475610307906,0.00027969304122169654,-0.0007740624838089927,0.001220488446151366,-8.001006910311628e-05,0.00018494388868195216,0.00042767727499792656,-0.0005207306953151169,-0.00014243121059620057,3.2609417170751352e-06,0.00011255831304002165,-0.000519741418152487,-7.695158579795671e-05,-2.5061279002370086e-05,0.0001391410732382351,-0.00036350881130613557,0.0005742269812542185,-0.0006123724309202559,-0.00028561648388833536,5.854691731421724e-18
"Anchorage, AK",-0.00026011871630079206,-0.00015601825868065487,-0.0005698071505453237,0.0007201319494404989,-0.0011853754027019265,0.0002835304050779606,-0.0007453524429393285,0.00490226921950933,-0.00038424583591905226,0.001606294872089716,-0.0003713233120994095,-0.0006450946978477529,-0.0006038500035271364,-0.00013257985776116078,5.8528034017185735e-05,-0.000400350901925023,-0.00024541449289039257,-0.00041535620036990575,0.0005096435085744993,-0.0003302581052625714,-0.00037981309442661746,-0.0008340693012812919,-0.00042137021423087123,-2.0491421059976034e-17
"Ann Arbor, MI",3.392790688934433e-05,-1.141084017618351e-06,-0.00017598971935258736,0.0010119127193038353,-0.00072835080794719,-0.00013891060123000297,-0.0004849725773419922,0.00048684650563106646,3.0196905064784098e-05,0.00036640613783165256,-3.609190842017299e-05,0.0005196643224970835,-0.00034614138509499995,0.00015105435091127537,-0.00022482404681587788,-0.0007483125826768867,-4.763635510075608e-05,0.0004455742713787305,1.3119012098235629e-05,0.000218072950083365,-0.000474972238764781,4.476499744714428e-05,8.580322762566524e-05,-6.833726293176134e-16
"Anniston-Oxford-Jacksonville, AL",-4.488567292967584e-05,1.4818410618614407e-06,-0.0003960539659650076,0.0012605890814246152,-0.0007085723171169102,0.0002414475354500769,-0.0006323736632213124,0.0007566717920721464,0.00041758446817226396,0.00037495008308393245,0.00017623518432650676,-0.0004552933105267366,-7.24758812996201e-05,-0.00013433311003064463,0.00017387743788290196,-0.0001918431695791067,0.00020441279243472364,-0.00012116506531858963,0.0001681305910986155,-0.00033637270037235526,3.24601058669877e-06,-0.0005878825631012441,-9.737539813335503e-05,-2.152683413469969e-16
"Asheville, NC",-0.0003011415788123789,8.349120868275835e-05,-0.0002541351548156108,0.001242903514898712,0.000377338865666287,0.0001669579276057738,-0.0005679908244072154,0.0004875341884378432,-0.00018360524134753906,0.00027351355785282944,0.00029951738719870367,-0.0003755732106644398,-0.00013909670613102324,-9.435839146394774e-05,-0.0003288018727810012,-0.0005023034253714099,0.00020153945859132066,-1.6184112287092635e-05,0.0004680614326372126,1.8932577750441605e-05,-0.0008910704817791043,0.000331119245984821,-0.00029664836544595805,-1.7780915628762273e-17
