,coef
"Albany, OR",0.00041916544214288994
"Albany-Schenectady-Troy, NY",0.002662406423106432
"Albuquerque, NM",0.0017702250772339652
"Allentown-Bethlehem-Easton, PA-NJ",0.002156047473716333
"Amarillo, TX",0.0009159461167059559
"Anchorage, AK",0.001137642987066992
"Ann Arbor, MI",0.0009398648492773557
"Anniston-Oxford-Jacksonville, AL",0.00031517795886187584
"Asheville, NC",0.001648900374419479
"Atlanta-Sandy Springs-Roswell, GA",0.01538878772848163
"Atlantic City-Hammonton, NJ",0.0009379364211713608
"Augusta-Richmond County, GA-SC",0.0012484964498959787
"Austin-Round Rock, TX",0.006207297783504613
"Bakersfield, CA",0.0033050781873952143
"Baltimore-Columbia-Towson, MD",0.006990370430015655
"Bangor, ME",0.00044374352927133447
"Barnstable Town, MA",0.0007984307533186556
"Baton Rouge, LA",0.0019315202231068307
"Beaumont-Port Arthur, TX",0.0011572977563262116
"Beckley, WV",0.000287614205932277
"Bellingham, WA",0.0008111836265354246
"Birmingham-Hoover, AL",0.0028726094787588394
"Bismarck, ND",0.00047062161307419206
"Blacksburg-Christiansburg-Radford, VA",0.0008226542629707649
"Bloomington, IL",0.0006557116264067584
"Bloomington, IN",0.00043849816103434
"Boise City, ID",0.002443325031628196
"Boston-Cambridge-Newton, MA-NH",0.013428645866683603
"Bremerton-Silverdale, WA",0.0008433322898807523
"Bridgeport-Stamford-Norwalk, CT",0.0029010335009830145
"Brownsville-Harlingen, TX",0.0012917850784763636
"Buffalo-Cheektowaga-Niagara Falls, NY",0.0034045938503250934
"Burlington, NC",0.0006361750805336521
"California-Lexington Park, MD",0.0003174225834842735
"Canton-Massillon, OH",0.0012197740629503262
"Cape Coral-Fort Myers, FL",0.0023628851135563487
"Charleston, WV",0.0005768213484088085
"Charleston-North Charleston, SC",0.0022706678185216876
"Charlotte-Concord-Gastonia, NC-SC",0.007060099654436035
"Chattanooga, TN-GA",0.0015275937383123959
"Cheyenne, WY",0.0003739070840168533
"Chicago-Naperville-Elgin, IL-IN-WI",0.021603328517364108
"Chico, CA",0.0007707371052541397
"Cincinnati, OH-KY-IN",0.005380745927365991
"Clarksville, TN-KY",0.0008540842430347533
"Cleveland, TN",0.00046583623755950166
"Cleveland-Elyria, OH",0.005269326006579414
"Coeur d'Alene, ID",0.0004635038493633119
"College Station-Bryan, TX",0.0010315676697415402
"Colorado Springs, CO",0.0019487285815902664
"Columbia, SC",0.0022834455709067223
"Columbus, OH",0.005481779312524621
"Corpus Christi, TX",0.001767998129258215
"Crestview-Fort Walton Beach-Destin, FL",0.001192259393321675
"Dallas-Fort Worth-Arlington, TX",0.020926992403676348
"Daphne-Fairhope-Foley, AL",0.0005290030073729321
"Dayton, OH",0.0021388364740963983
"Decatur, AL",0.000519671522580913
"Deltona-Daytona Beach-Ormond Beach, FL",0.0019020521592606552
"Denver-Aurora-Lakewood, CO",0.00754366673057251
"Des Moines-West Des Moines, IA",0.0012824329455876666
"Detroit-Warren-Dearborn, MI",0.008895211485193191
"Dothan, AL",0.0009661691151220812
"Dover, DE",0.0005133108753610391
"East Stroudsburg, PA",0.0004201619786009055
"El Centro, CA",0.0006259169661768493
"El Paso, TX",0.0021798189805657163
"Elkhart-Goshen, IN",0.000601994861836589
"Erie, PA",0.0007418360471986626
"Eugene, OR",0.0012288763130055913
"Fayetteville, NC",0.0010475232022624415
"Fayetteville-Springdale-Rogers, AR-MO",0.001318607900195424
"Flagstaff, AZ",0.000613858509899362
"Fort Collins, CO",0.0011088645001833054
"Fort Wayne, IN",0.0010945438190668507
"Fresno, CA",0.0031951365682238914
"Gainesville, FL",0.0007700305003017464
"Gainesville, GA",0.0006797008436112853
"Glens Falls, NY",0.0006709108943373456
"Goldsboro, NC",0.00042654781528191755
"Grand Junction, CO",0.000580840846257644
"Grand Rapids-Wyoming, MI",0.0021208018035723587
"Greeley, CO",0.0010918722420605567
"Greensboro-High Point, NC",0.001774892005529787
"Greenville, NC",0.00043977808207107557
"Greenville-Anderson-Mauldin, SC",0.0024365164599746106
"Gulfport-Biloxi-Pascagoula, MS",0.0010850071193650888
"Hanford-Corcoran, CA",0.0005313486682875035
"Harrisburg-Carlisle, PA",0.0016278678452626393
"Harrisonburg, VA",0.000629932148131948
"Hartford-West Hartford-East Hartford, CT",0.0027260199374458316
"Hattiesburg, MS",0.0005665974045147926
"Hickory-Lenoir-Morganton, NC",0.00116440915171992
"Homosassa Springs, FL",0.00046319304325316606
"Houston-The Woodlands-Sugar Land, TX",0.01697483735881409
"Huntsville, AL",0.0010444417071320978
"Indianapolis-Carmel-Anderson, IN",0.0051105257620234264
"Iowa City, IA",0.00042969147920291666
"Ithaca, NY",0.00039000431318623205
"Jackson, MI",0.0005676437517019486
"Jackson, MS",0.001647872723487914
"Jackson, TN",0.00042247034684156863
"Jacksonville, FL",0.003980842988491283
"Janesville-Beloit, WI",0.0004282698111415397
"Johnson City, TN",0.0007785292870763096
"Johnstown, PA",0.000664489865023322
"Jonesboro, AR",0.0004950792834436514
"Joplin, MO",0.0007197243773361947
"Kalamazoo-Portage, MI",0.0007145492555809313
"Kansas City, MO-KS",0.005661239575991793
"Knoxville, TN",0.0026799629036914803
"La Crosse-Onalaska, WI-MN",0.00034889052649294205
"Lafayette, LA",0.0015623369156034929
"Lafayette-West Lafayette, IN",0.0005902936004118295
"Lake Havasu City-Kingman, AZ",0.0007164917112667585
"Lakeland-Winter Haven, FL",0.002238788003016819
"Lancaster, PA",0.001615088746155032
"Lansing-East Lansing, MI",0.0014549680032766104
"Laredo, TX",0.0010418168630220081
"Las Cruces, NM",0.000601540486819815
"Las Vegas-Henderson-Paradise, NV",0.007113850754451579
"Lawrence, KS",0.00032409164019939294
"Lawton, OK",0.00047154487978069454
"Lebanon, PA",0.00047618543788755023
"Lewiston-Auburn, ME",0.00030448732767922944
"Lima, OH",0.00037400757452290027
"Lincoln, NE",0.0009007259647568159
"Little Rock-North Little Rock-Conway, AR",0.0016818472382246763
"Los Angeles-Long Beach-Anaheim, CA",0.0369341139744268
"Louisville/Jefferson County, KY-IN",0.003738075859637111
"Lubbock, TX",0.0011756894063702803
"Lynchburg, VA",0.0008382906908800284
"Madera, CA",0.0006422994172638017
"Mankato-North Mankato, MN",0.0005759997739577359
"Mansfield, OH",0.00039036651085658485
"McAllen-Edinburg-Mission, TX",0.0024729564393778506
"Medford, OR",0.000657676941267706
"Memphis, TN-MS-AR",0.002911211313439279
"Merced, CA",0.0010100933996467889
"Miami-Fort Lauderdale-West Palm Beach, FL",0.016979099441492597
"Michigan City-La Porte, IN",0.00040440933157100427
"Midland, TX",0.0006055157009966371
"Milwaukee-Waukesha-West Allis, WI",0.0027383783492400176
"Minneapolis-St. Paul-Bloomington, MN-WI",0.0073888905888114835
"Mobile, AL",0.0011001616857077964
"Modesto, CA",0.0018063368432605965
"Monroe, LA",0.0004472699054443929
"Monroe, MI",0.00043909755647586186
"Montgomery, AL",0.0010678641151491372
"Mount Vernon-Anacortes, WA",0.0007018709627787008
"Muncie, IN",0.00047236291480602546
"Muskegon, MI",0.0005627190544188914
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.0013692535469388499
"Napa, CA",0.000620227558205875
"Naples-Immokalee-Marco Island, FL",0.0013392275245918538
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.0053508491379703135
"New Haven-Milford, CT",0.0017521618793637503
"New Orleans-Metairie, LA",0.0033815439436431236
"New York-Newark-Jersey City, NY-NJ-PA",0.050453999371337946
"Niles-Benton Harbor, MI",0.0005956553845453186
"North Port-Sarasota-Bradenton, FL",0.002612327039024558
"Norwich-New London, CT",0.0004256055494835428
"Ocala, FL",0.0010884081729511895
"Odessa, TX",0.0005309479114591188
"Ogden-Clearfield, UT",0.0016900723162113938
"Oklahoma City, OK",0.0030660472872316162
"Olympia-Tumwater, WA",0.0007779499363503321
"Omaha-Council Bluffs, NE-IA",0.0020348148779697067
"Orlando-Kissimmee-Sanford, FL",0.006892857012865403
"Oshkosh-Neenah, WI",0.0005076876433405761
"Oxnard-Thousand Oaks-Ventura, CA",0.0029380164406470643
"Palm Bay-Melbourne-Titusville, FL",0.0017269911364141532
"Panama City, FL",0.000649183053621404
"Pensacola-Ferry Pass-Brent, FL",0.0015826517643600473
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.013735972130278466
"Phoenix-Mesa-Scottsdale, AZ",0.012932769946620263
"Pittsburgh, PA",0.007124149435990507
"Pittsfield, MA",0.0006773117893594923
"Port St. Lucie, FL",0.0013098267424192938
"Portland-South Portland, ME",0.0012852605415117845
"Portland-Vancouver-Hillsboro, OR-WA",0.006714212208070048
"Prescott, AZ",0.0009085699236341464
"Providence-Warwick, RI-MA",0.004734347325126727
"Provo-Orem, UT",0.0021827867631903546
"Pueblo, CO",0.0004891884092383771
"Punta Gorda, FL",0.0005603755891356803
"Racine, WI",0.0004111543208487817
"Raleigh, NC",0.0031998600029240253
"Reading, PA",0.0013333443598614147
"Redding, CA",0.0005735562976013978
"Reno, NV",0.0017249698718205387
"Richmond, VA",0.003462245494898844
"Riverside-San Bernardino-Ontario, CA",0.012285754375550774
"Roanoke, VA",0.001013540916655367
"Rochester, NY",0.00391059100105115
"Rockford, IL",0.0009763470672141991
"Rocky Mount, NC",0.0004924034306248482
"Sacramento--Roseville--Arden-Arcade, CA",0.006455478128591895
"Saginaw, MI",0.0006408375376297172
"Salem, OR",0.0016244137581194807
"Salinas, CA",0.001422029719547537
"Salisbury, MD-DE",0.0016303704428298374
"Salt Lake City, UT",0.003050020114320093
"San Angelo, TX",0.00041209287535767743
"San Antonio-New Braunfels, TX",0.006213581344579482
"San Diego-Carlsbad, CA",0.009051126925990777
"San Francisco-Oakland-Hayward, CA",0.011822415793196924
"San Jose-Sunnyvale-Santa Clara, CA",0.004903060052548928
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.00107534506152156
"Santa Cruz-Watsonville, CA",0.0010940328727462958
"Santa Fe, NM",0.0005600984136750026
"Santa Maria-Santa Barbara, CA",0.0016241922023970544
"Santa Rosa, CA",0.0017049179054517863
"Scranton--Wilkes-Barre--Hazleton, PA",0.0017535567303789516
"Seattle-Tacoma-Bellevue, WA",0.010363464989459333
"Sebastian-Vero Beach, FL",0.000478994084674836
"Sheboygan, WI",0.00046315099580413377
"Shreveport-Bossier City, LA",0.00125884342419947
"Spartanburg, SC",0.0010552015616761082
"Spokane-Spokane Valley, WA",0.00235428976088146
"Springfield, IL",0.0006323410728615612
"Springfield, MA",0.00173583170719865
"Springfield, MO",0.0010780829304950978
"Springfield, OH",0.0004623600664118619
"St. Cloud, MN",0.000804228521477078
"St. George, UT",0.0004940654323890439
"St. Joseph, MO-KS",0.0005525606065874968
"St. Louis, MO-IL",0.007634659722920435
"State College, PA",0.0006364184886502689
"Stockton-Lodi, CA",0.002477941488495325
"Sumter, SC",0.0004010477482063113
"Syracuse, NY",0.002932481812979885
"Tampa-St. Petersburg-Clearwater, FL",0.009255138845017188
"The Villages, FL",0.00032239830685707187
"Toledo, OH",0.001663864136396093
"Topeka, KS",0.000342145101299332
"Trenton, NJ",0.0009283019387910728
"Tucson, AZ",0.002773777031027027
"Tulsa, OK",0.0033781911183768847
"Tuscaloosa, AL",0.0005964926668017064
"Tyler, TX",0.000742493612214212
"Urban Honolulu, HI",0.0030862334595464424
"Utica-Rome, NY",0.0011206807022949752
