COMZONE,coefficient
"Alameda County, CA",2.9310547459037917
"Albany County, NY",1.7056513360519743
"Allegheny County, PA",1.5458215244704545
"Allen County, IN",1.2718992859525298
"Allen County, OH",1.0220798446271568
"Anchorage Borough, AK",2.4025754192874165
"Baltimore County, MD",2.1575731046488866
"Bell County, TX",1.1947415897982614
"Berks County, PA",1.507969229005622
"Berkshire County, MA",1.4441119754641487
"Bernalillo County, NM",0.8868042198699299
"Bexar County, TX",1.486290708936655
"Bibb County, GA",0.7338532982263795
"Black Hawk County, IA",1.4379790754867159
"Bonneville County, ID",1.3717987239837153
"Boone County, MO",0.8240792539311429
"Brazoria County, TX",1.9427591308081877
"Brazos County, TX",0.9904434379299301
"Brown County, WI",1.5686838156556684
"Buncombe County, NC",1.318428110997292
"Butte County, CA",1.1622365569861197
"Caddo Parish, LA",1.4958071162080953
"Calhoun County, AL",0.8659846891643549
"Cambria County, PA",1.0310801812877963
"Carbon County, UT",1.1943040000875695
"Carroll County, GA",1.392656257308913
"Cass County, ND",1.5949344060541095
"Catawba County, NC",1.1578806602744771
"Centre County, PA",0.8932864649569816
"Champaign County, IL",1.3809738396286628
"Chatham County, GA",1.4576794710907843
"Clark County, NV",2.155181394125837
"Clarke County, GA",0.7142077604277206
"Coconino County, AZ",1.0339925798217227
"Cook County, IL",2.340757509444617
"Cumberland County, ME",1.0338181572209182
"Cumberland County, NC",1.0995551967584425
"Cuyahoga County, OH",1.488782166183142
"Dade County, FL",1.9990621030621174
"Dallas County, TX",2.0616355253309804
"Dane County, WI",1.5532884474721704
"Davidson County, TN",1.7891295813388586
"Deschutes County, OR",1.4332905617340768
"Douglas County, NE",1.514695828136426
"Duval County, FL",1.4423472256978813
"East Baton Rouge Parish, LA",1.7791457608078614
"Ector County, TX",2.135000115865609
"El Paso County, TX",0.9983936559898812
"Erie County, NY",1.516339804747613
"Erie County, PA",1.1262372629367257
"Escambia County, FL",1.3183456801756535
"Essex County, NJ",2.7087777566226694
"Fayette County, KY",1.3241443445516907
"Floyd County, GA",1.5217028710459812
"Forsyth County, NC",1.5732000248159903
"Franklin County, OH",1.5401807712892328
"Franklin County, PA",1.7039738097294725
"Fresno County, CA",1.5391719127913235
"Fulton County, GA",1.7834914118957432
"Greenville County, SC",1.0197118605419075
"Gregg County, TX",1.040201347680533
"Guilford County, NC",1.2171293182412348
"Hall County, GA",1.467091327781243
"Hamilton County, OH",1.6594263617002711
"Hamilton County, TN",1.379771033634656
"Harris County, TX",2.0395429316021993
"Harrison County, MS",1.1638090709562763
"Hartford County, CT",2.378158794191216
"Hennepin County, MN",1.9906027913826436
"Hidalgo County, TX",0.9663133991198833
"Hillsborough County, FL",1.5408133450464032
"Honolulu County, HI",2.3255556304482856
"Horry County, SC",0.9830058733806255
"Humboldt County, CA",0.7012778638743445
"Ingham County, MI",1.1571238651663514
"Jackson County, MI",1.025102480350882
"Jackson County, MO",1.745878662581627
"Jackson County, OR",1.050527484647285
"Jefferson County, AL",1.5547287889266173
"Jefferson County, KY",1.6862838137440928
"Jefferson County, TX",1.3675604706378213
"Johnson County, IA",1.2256031563104022
