city_year,occ_year,shares,city_year_coeff,occ_year_coeff,residuals
"(Akron, OH)_2015",(occ2_management)_2015,-5.868807062595472,0.4595014100698318,-0.44395759840114285,0.10510590800812913
"(Albany-Schenectady-Troy, NY)_2015",(occ2_management)_2015,-5.535224437511677,0.613874432832084,-0.44395759840114285,0.28431551032967217
"(Albuquerque, NM)_2015",(occ2_management)_2015,-5.7742855442379275,0.6481600046214693,-0.44395759840114285,0.010968831814036406
"(Allentown-Bethlehem-Easton, PA-NJ)_2015",(occ2_management)_2015,-5.661410688816711,0.6998134470808335,-0.44395759840114285,0.07219024477588842
"(Amarillo, TX)_2015",(occ2_management)_2015,-7.065919731742817,-0.565728366836193,-0.44395759840114285,-0.06677698423319
"(Anchorage, AK)_2015",(occ2_management)_2015,-6.309580180937722,0.035944383545769565,-0.44395759840114285,0.08788981618994107
"(Ann Arbor, MI)_2015",(occ2_management)_2015,-6.496499797376637,-0.20723975129640015,-0.44395759840114285,0.14415433459319704
"(Anniston-Oxford-Jacksonville, AL)_2015",(occ2_management)_2015,-7.892259807723081,-1.2904854529472027,-0.44395759840114285,-0.16835997410244552
"(Asheville, NC)_2015",(occ2_management)_2015,-6.392770187742609,0.1239071511394445,-0.44395759840114285,-0.0832629582086204
"(Atlanta-Sandy Springs-Roswell, GA)_2015",(occ2_management)_2015,-3.7092081569833546,2.4392555873341295,-0.44395759840114285,0.28495063635594864
"(Atlantic City-Hammonton, NJ)_2015",(occ2_management)_2015,-7.07765777028805,-0.40936930737885735,-0.44395759840114285,-0.23487408223575912
"(Auburn-Opelika, AL)_2015",(occ2_management)_2015,-7.512319335074484,-0.9671704192659174,-0.44395759840114285,-0.11173453513513376
"(Augusta-Richmond County, GA-SC)_2015",(occ2_management)_2015,-6.306711827851199,0.07987780806078604,-0.44395759840114285,0.046824744761448045
"(Austin-Round Rock, TX)_2015",(occ2_management)_2015,-4.7222119844664405,1.459494002486374,-0.44395759840114285,0.2517083937206186
"(Bakersfield, CA)_2015",(occ2_management)_2015,-6.1879667071561855,0.676778573444575,-0.44395759840114285,-0.4313308999273273
